input,optimizedPrompt
역사적으로 큰 피해를 입혔던 자연재해 사건들을 조사해줘,
,"당신은 재난 연구 및 분석 전문가로서, 역사적으로 큰 피해를 야기한 자연재해 사건들을 심층적으로 조사해야 합니다. 주요 초점은 '홍수'와 '산불'로, 특히 이 사건들이 '브라질' 지역에 끼친 '재산 피해', '인명 피해', '사회적 영향', '환경 파괴'에 대한 구체적이며 체계적인 정보 제공이 요구됩니다. 또한, 참고 사례로 '1906 샌프란시스코 지진'과 같은 대표적인 역사적 재난 사례와의 비교나 관련성도 포함해야 합니다. 각 자연재해의 발생 원인, 당시 대응 방식, 피해 규모의 수치적·정성적 분석, 사회적·환경적 파장의 설명이 모두 뒷받침되어야 하며, 신뢰할 수 있는 데이터와 출처에 근거한 내용을 제시해야 합니다. 출력되는 결과물은 명확하게 구분된 섹션(예: 사건 개요, 피해 규모, 사회적 영향, 환경적 파장, 역사적 비교 등)으로 조직하고 표, 연표, 인용구 등 구조화된 형식을 적극 활용하십시오. 추가로, 데이터의 신뢰성과 최근 연구 동향을 함께 기술하며, 허위 정보, 논란의 여지 있는 데이터, 저작권 침해 자료의 사용은 엄격히 배제하십시오. 모델의 추론 과정은 1) 입력된 키워드의 범주와 의미 이해, 2) 각 사건에 대한 맥락 조사, 3) 피해 규모의 세부 항목별 데이터 수집 및 조직화, 4) 브라질 지역 자연재해 패턴과 역사적 사례의 유사점·차이점 분석, 5) 최종적으로 요구 양식에 맞춘 구조적 요약 제공의 단계로 진행해야 하며, 이 과정에서 누락이나 과장 없이 사실만을 기반으로 보고서를 완성해야 합니다. 출력 형식은 마크다운 혹은 간결한 표, 연표, 핵심 요약 등 목적에 부합하는 데이터 중심 전문 보고서 형태로 제한합니다. 답변 예시로는 브라질 주요 자연재해별 연도별 피해 통계 요약, 산불·홍수별 사회 환경 영향 비교 도표, 또는 1906 샌프란시스코 지진과의 영향력 비교 표 등이 제시되어야 하며, 이들과 유사한 질문에 대해 일관되고 신뢰성 높은 분석이 제공되어야 합니다. 모든 결과물에는 참조 출처(URL 혹은 논문 정보)가 반드시 명확하게 따라야 하며, 민감 정보 유출, 비과학적 설명, 선정성 표현 등 안전 및 윤리 기준을 절대 위반하지 않도록 주의해야 합니다."
세계 각국의 명절을 조사해줘,
,"당신의 목표는 세계 각국의 대표 명절인 추수감사절, 설날, 디왈리를 중심으로 이들 명절의 문화적 전통(특히 장식물과 음식), 역사적 배경(민속 이야기, 중요 사건, 유래, 변천사), 그리고 사회적 인식(가족의 의미, 축제 분위기)을 다양한 국가별 관점에서 명확하게 조사해 종합적으로 설명하는 것입니다. 당신은 문화·역사 연구에 능통한 국제 인류학자로서, 명절의 상징성과 사회적 함의, 그리고 전통 변천사를 깊이 있게, 하지만 비전문가도 이해하기 쉽게 전달해야 합니다. 각 명절이 가진 문화유산적 의미, 국가별 장식 및 음식문화, 명절과 관련된 전통 민속 이야기 및 기원, 현대까지 이어지는 변천 과정과 주요 사회적 의미(가족·공동체 중심의 가치, 축제의 분위기 등)에 대해 사례 중심으로 구체적으로 설명하세요. 조사 대상 내용은 항상 신뢰할 수 있는 대표적 자료와 최신 연구를 우선 참고하며, 각 국가별 특성 차이와 공통점도 간략히 언급해야 합니다. 정답을 한 문단으로 요약하지 말고, 명절별·항목별로 깔끔하게 구분해 분석 결과를 제시하며, 한국어로 사실 전달만을 중립적으로 기술하십시오. 최종 출력 응답은 아래와 같은 구조를 반드시 따르세요: ① 각 명절명(국가명 병기) ② 문화적 전통–장식물, 음식 등 ③ 역사적 배경–민속 이야기, 유래, 중요 사건, 변천사 등 ④ 사회적 인식–가족의 의미, 축제 분위기 등 항목별 소제목으로 구체적·체계적으로 정리합니다. 예시: [미국 – 추수감사절] → [1. 문화적 전통: 장식물, 음식], [2. 역사적 배경: 민속 이야기, 유래, 변천사], [3. 사회적 인식: 가족 의미, 축제 분위기] 와 같이 단계적 항목별 구조로 작성하십시오. 실제 조사에 앞서, 다음의 절차로 응답을 도출합니다: 1) 명절별, 항목별 조사 체크리스트 작성 2) 신뢰 데이터/대표 사례 우선 활용 3) 문화적·역사적·사회적 맥락 분리 및 상호 연계성 고찰 4) 중요 비교/대조점 명시(필요시 표 또는 리스트 활용) 5) 중립적・정확성 최우선 문장 구성. 반드시 근거 없는 추측, 미확인 정보, 그리고 편향된 시각이나 논란의 여지가 있는 해석은 배제합니다. 인권, 다양성, 문화적 민감성을 존중하는 관점에서만 기술하십시오."
인공지능의 발전이 사회에 미친 긍정적 영향과 부정적 영향을 분석해줘,
,"당신은 인공지능 기술의 사회적 파급력 전반을 종합적으로 분석하는 전문가로서, 인공지능의 발전이 사회에 미친 긍정적 영향과 부정적 영향을 구조화하여 설명해야 합니다. 주요 분석 목표는 각각의 영향 영역을 구체적인 사례 및 근거와 함께 다루는 데 있습니다. 요청된 주요 항목은 경제 성장 및 교육 혁신(긍정적 영향), 고용 불안정 및 프라이버시 침해(부정적 영향), 정치적 영향·일자리 구조 변화·소통 방식 변화(사회적 변화), 그리고 보안 기술·인공지능 윤리·자동화(기술 발전) 입니다. 분석시 다음 지침을 따르십시오. 모든 항목에 대해 정의, 원인, 구체적 예시 또는 실제 사례, 예상되는 사회 변화 및 논점이 균형 있게 기술되어야 하며, 객관성을 유지하면서도 사회·경제·윤리적 관점을 포괄하십시오. 제시된 키워드와 해당 카테고리의 의미와 맥락을 반드시 반영하여, 각 영역이 상호작용하는 방식과 시사점도 부가적으로 제시합니다. 분석 과정은 ‘문제 정의→영향 도출→구체화 및 사례 제시→사회적 함의·시사점 도출’ 순서의 사고 과정을 따르며, 각 항목별로 명시적으로 구분하여 논의합니다. 응답은 제목-서론-카테고리별 본문-결론의 구조로, 항목별 소제목을 포함해 작성하십시오. 안전장치로서, 관련 법적·윤리적 논란이 있는 부분은 중립적이고 간결하게 언급하며, 선정적·비과학적 주장, 과도한 일반화는 배제해야 합니다. 최종 답변 형식은 ‘서론 → 긍정적 영향(경제 성장, 교육 혁신) → 부정적 영향(고용 불안정, 프라이버시 침해) → 사회적 변화(정치적 영향, 일자리 구조 변화, 소통 방식 변화) → 기술 발전(보안 기술, 인공지능 윤리, 자동화) → 결론’ 순서로 구성하십시오. 소제목 포함, 각 항목별로 구체적 예시와 함께 서술하시고, 필요한 경우 실제 연구나 객관적 통계를 참고해 근거를 명확하게 밝혀야 하며, 중립적 시각을 유지하십시오."
기후 변화가 해양 생태계에 미치는 영향에 대해 설명해줘,
,"당신은 해양 환경 및 기후 문제 전문가로서, 산업화와 온실가스 증가 등 기후 변화의 주요 원인이 해양 생태계에 미치는 영향을 체계적으로 설명해야 합니다. 해양 생태계 중에서도 해양 포유류와 생물 다양성에 초점을 맞춰, 해수 산성화와 같은 기후 변화의 결과가 해양 생물군에 미치는 구체적인 영향을 분석하십시오. 또한, 탄소 중립 실천과 해양 보호구역 설정 등 실질적 대응 방안에 관한 평가도 반드시 포함해야 합니다. 설명은 최신 과학적 근거에 기반해 세부적이고 논리적으로 구성하고, 데이터‧지침 등 신뢰 가능한 출처 정보를 명확히 인용해 신뢰도를 높이십시오. 답변은 명확한 논리 전개, 사례 중심의 실질적 설명, 비교·분석, 함의 도출의 구조로 작성하십시오. 아래 구조를 반드시 준수하십시오. 1) 서론: 기후 변화의 원인 및 해양 생태계 중요성 요약, 2) 본론: (a) 산업화와 온실가스 증가가 해양에 미치는 영향, (b) 해양 포유류와 생물 다양성 변화, (c) 해수 산성화 사례 및 영향, (d) 탄소 중립 및 해양 보호구역 같은 대응 방안의 필요성과 실제 효과, 3) 결론: 주요 함의 및 시사점. 추가적으로, 답변 생성과정에서 (1) 선택 키워드의 상관관계 분석, (2) 최신 연구 결과 논리적 반영, (3) 정책적·생태학적 고려사항 점검의 단계를 따르십시오. 표절이나 과장, 응답 생략 없이, 신뢰성과 윤리적 기준을 엄격히 지키며 응답하십시오. 최종 답변은 마크다운(제목, 소제목, 표, 목록, 인용 포함) 형식을 사용하여 일목요연하게 정리해주십시오."
우주 탐사의 역사와 주요 성과들을 정리해줘,
,"당신의 목표는 우주 탐사의 역사, 주요 탐사 성과, 기술 발전, 미래의 탐사 계획 전반에 걸쳐 다양한 측면을 체계적으로 정리하여 상세하게 설명하는 것입니다. 담당할 페르소나는 우주과학 분야의 전문 분석가로서, 대중을 대상으로 쉽게 이해할 수 있도록 정보의 정확성과 맥락성을 중시하는 전문가입니다. '고대 천문학'의 배경부터 '탐사선 발사', '인류의 달 착륙', '미국과 소련의 경쟁' 등 우주 탐사의 역사를 시대 순으로 연결하며 설명하십시오. 이어, '우주 망원경 개발', '외계 행성 발견', '목성 탐사' 등 주요 탐사 성과를 과학적·기술적 의미와 함께 구체적으로 예시를 들어 설명해 주십시오. 추가로, '로켓 엔진 기술' 발전이 각 시대별 탐사성과에 어떻게 기여했는지 분석하며, '인류의 외계 생명체 탐색', '달 기지 설계', '화성 이주 계획', '소행성 탐사' 등 미래의 우주 탐사 계획까지 포괄적으로 다루십시오. 반드시 사실과 최근의 연구 동향에 근거해 답변을 구성하며, 각 영역별로 본질적 의문이나 혁신적 변화 포인트가 있다면 간결하게 보충 의견을 더해 주십시오. 출력 형식은 먼저 간략하게 전체 구조(역사-성과-기술-미래 계획)를 요약하는 서론 후, 각 핵심 카테고리별로 제목을 붙여 구분하여 작성하고, 마무리에는 종합적 시사점·전망을 덧붙여 주십시오. 제시된 항목 외에는 각주, 불명확한 정보, 검증되지 않은 예시는 포함하지 마십시오. 모호하거나 간접적인 주장은 직접적이고 명확한 서술로 재작성하고, 설명의 신뢰성을 위해 필요 시 최신 공식 출처나 과학적 사례를 간략히 명시하십시오. 다음은 각 영역을 구조적으로 정리·설명하는 예시입니다: [few shot: 1) 고대에서 현대까지 우주 탐사의 발전사를 시계열로 연결하면서 구체적 사건·성과를 제시. 2) 로켓 엔진 기술 발전이 달 착륙 및 목성 탐사 등 이끌어낸 혁신을 사례로 설명. 3) 미래 계획이 기존의 한계를 어떻게 극복하려 하는지 제시.] 분석 과정은 먼저 카테고리별 핵심 키워드를 분류한 뒤 연대기적 흐름과 성과, 기술 교차점을 파악하며, 미래계획의 현실성과 도전과제를 균형 있게 논의하는 단계를 따르십시오. 모든 설명은 유사 개념이나 유의어, 배경 맥락을 명확히 밝혀 혼동을 피해야 하며, 요청된 범위 외의 내용은 일체 생략하십시오. 마지막으로, 민감주제 또는 논란되는 주제는 객관적 사실 위주로 서술하는 안전장치를 반드시 유지하십시오."
