input,allResults
슈퍼히어로가 하늘을 날자 사람들의 시선이 집중되는 장면을 만들어줘,
,"[{'optimizedPrompt': 'A realistic-style cinematic sequence featuring a female superhero flying powerfully above the clouds, transitioning from the vibrant blue sky to the breathtaking vastness of space, then over expansive natural landscapes. Below, a crowd of people on the ground looks up in awe, cheering and applauding. The superhero wears a dynamic, detailed costume, her hair flowing behind her as she soars. Sunrise lighting creates dramatic highlights and shadows, enhancing the real-world atmosphere. The camera begins with a wide aerial shot that tracks the superhero in flight, slowly panning downward to reveal the amazed crowd, then alternating between close-ups of the hero’s determined expression and medium shots of the crowds reacting joyfully. Strong color contrast and high-definition realism throughout. Avoid blurs or distortions. The superhero glances confidently down toward the crowd, her presence inspiring excitement and hope.', 'koreanSummary': '여성 슈퍼히어로가 구름 위, 우주, 자연 풍경을 오가며 하늘을 나는 실사 스타일 장면. 아래에서는 군중이 하늘을 올려보며 환호와 찬사를 보냄. 카메라는 영웅의 역동적 비행과 감정을 강조하며 군중의 반응을 교차로 보여줌.'}]"
갑자기 비가 쏟아져 모두가 뛰어가는 도심의 모습을 영상으로 만들어줘우주선이 하늘을 가르며 착륙하자 놀란 군중들이 바라보는 장면을 만들어줘,
,"[{'optimizedPrompt': ""A crowd of diverse people, featuring various ages, genders, and ethnicities with distinct hairstyles and modern urban clothing, stands frozen in the middle of a contemporary cityscape, surrounded by sleek skyscrapers and illuminated streets. The atmosphere is tense and dramatic, as a spaceship with brilliant, colorful lights descends from the cloudy sky, slicing through the cold urban wind. The group momentarily stops running, stunned, and looks up at the spaceship. Cinematic lighting abruptly shifts from the dramatic city glow to the intense illumination of the spaceship, highlighting the crowd's startled, awestruck faces and creating sharp, high-contrast shadows. The camera starts with a wide shot capturing the entire scene and then slowly tracks in, focusing on close-ups of individuals’ expressive faces, the city’s intricate, high-resolution textures, and the dazzling details of the spaceship. Sense of impending tension fills the air—avoid any blur, distortion, or unwanted objects. The crowd’s gaze naturally follows the spaceship as it lands, reflecting both fear and fascination."", 'koreanSummary': '찬바람이 부는 현대적 도심에서, 갑자기 우주선이 화려한 조명과 함께 하늘을 가르며 착륙하고, 깜짝 놀란 다양한 군중이 멈춰 서서 하늘을 올려다보는 일촉즉발의 긴장감 넘치는 장면을 고화질로 묘사함.'}]"
유명 배우가 거리 한복판에 나타나 팬들이 몰려드는 장면을 만들어줘,
,"[{'optimizedPrompt': 'A famous, friendly actor with neat hair and smart-casual attire appears in the middle of a luxurious city street. The modern urban background features sleek architecture and elegant details. Ecstatic, moved, and curious fans energetically gather around, creating a bustling and lively scene. There is a dynamic mix of wide shots, close-ups, and multi-angled perspectives, highlighting the actor’s approachable smile and excited interactions with the emotionally overwhelmed crowd. Natural daylight brightens the scene, emphasizing sharp contrasts between the actor, fans, and the sophisticated city environment. The camera moves dynamically — tracking, panning, and zooming to capture both the crowd’s excitement and the actor’s friendly engagement. Prohibited elements: blur effects, unwanted objects, or distortion.', 'koreanSummary': '유명하고 친근한 배우가 고급스러운 도시 거리 한복판에 등장하자 감동적이고 열광적인 팬들이 몰려드는 동적이고 원근감 있는 장면. 다양한 각도와 클로즈업으로 배우의 미소와 팬들의 반응을 강조하며, 선명한 자연광과 현대적인 도시 배경이 어우러진다.'}]"
오래된 건물이 무너지고 사람들은 멀리서 바라보며 속삭이는 장면을 만들어줘,
,"[{'optimizedPrompt': ""A young man with short dark hair, wearing worn-out casual clothes, stands at a distance in a rural area. He gazes with curiosity at an old building with a collapsed roof and corroded outer walls surrounded by overgrown grass. The atmosphere is tense yet filled with wonder. The scene unfolds in the late afternoon with warm, slanting sunlight highlighting the textures of decay. Medium-wide shot, cinematic realism, strong contrast between the golden light and the shadowed structure. The camera pans slowly across the young man's face as he whispers to himself, eyes reflecting intrigue. Exclude any unwanted blurs or visual distortions. Emphasize the interplay of light and shadow on the man's face and the deteriorating building."", 'koreanSummary': '농촌 지역에서 붕괴된 지붕과 부식된 외벽의 오래된 건물을 호기심 어린 표정으로 젊은 남성이 멀리서 바라보며 속삭이는 모습을 시네마틱하게 묘사한 프롬프트.'}]"
도심 한가운데에서 갑자기 불꽃놀이가 터지고 모두가 휴대폰을 꺼내는 장면을 만들어줘,
,"[{'optimizedPrompt': ""A wide city square in the urban center, surrounded by tall buildings illuminated at night. Diverse spectators gather: elderly couples with grey hair and classic coats, young children holding hands, family groups with parents and kids, and clusters of teenagers in trendy streetwear. Suddenly, brilliant red and vibrant blue fireworks explode vividly in the sky, casting colorful reflections on the glassy skyscrapers. The crowd, surprised and delighted, simultaneously lift their smartphones with noticeable LED lighting effects, faces lit by the glow of both the screens and the fireworks. Maintain a cinematic style with high contrast between the bright fireworks and the night background. Camera starts with a sweeping wide shot capturing the entire square and crowd, then slowly pushes in to focus on groups' reactions and the interplay of LED-lit phones and fireworks colors. Exclude any blurred or unwanted objects. Atmosphere: energetic and awe-inspired, the air filled with excitement and wonder."", 'koreanSummary': '도심 광장과 고층 건물 사이에서 선명한 빨간색과 파란색 불꽃이 터지고, 노인 커플, 어린이, 가족, 청소년 그룹 등 다양한 관람객이 놀라며 모두 LED 조명이 빛나는 휴대폰을 꺼내 드는 장면. 시네마틱하고 활기찬 분위기, 넓은 광장과 고층 건물, 대조적인 밤과 불꽃의 조명이 강조됨.'}]"
