input,allResults
아기 코끼리들이 강가에서 물장구치는 영상을 만들어줘,
,"[{'optimizedPrompt': ""A group of baby elephants with adorable facial expressions tangled together and playfully interacting in a sunlit field of reeds. Close-up shots and zoom-in effects highlight their cute faces as they play games with each other. The camera captures the scene from the side and from a high angle, emphasizing the warm sunlight streaming through the reeds and soft natural shadows. The setting is bright, cheerful, and vivid, with no blur or unwanted objects present. The elephants' playful energy and joy are the focus as the camera smoothly moves to showcase different perspectives within the sun-drenched reed field."", 'koreanSummary': '햇살이 내리쬐는 갈대밭에서 귀여운 표정의 아기 코끼리들이 서로 엉켜 게임하며 노는 장면을 다양한 각도(근접, 측면, 높은 각도)와 줌인 효과로 따뜻하고 밝게 담아낸 영상 프롬프트'}]"
20대 여성이 공원에서 조깅하는 장면을 영상으로 보여줘,
,"[{'optimizedPrompt': 'A young woman in her twenties, wearing sports brand activewear and running shoes, is jogging naturally in a sunny park lined with lush green trees. She is listening to headphones while running at a gentle pace. The scene is filmed in slow motion, emphasizing the graceful movement of her legs and the sway of her ponytail, with sunlight filtering through the leaves. Wide shot composition, vibrant daylight colors with high contrast, energetic and uplifting atmosphere. No blur, distortion, or unwanted objects in the frame. The camera smoothly tracks her as she jogs, capturing the changing play of light and shadow on her and her surroundings, with her gaze forward, reflecting focus and a relaxed mood.', 'koreanSummary': '20대 여성이 스포츠 브랜드 운동복과 러닝화를 신고, 헤드폰을 착용한 채 푸르른 나무가 늘어진 공원에서 햇살을 받으며 자연스럽게 조깅하는 슬로우 모션 영상입니다. 밝고 건강한 분위기로, 카메라는 넓은 구도로 여성을 부드럽게 따라가며 장면의 빛과 명암을 강조합니다.'}]"
별빛이 가득한 사막 밤하늘의 타임랩스 영상을 만들어줘,
,"[{'optimizedPrompt': 'A high-resolution timelapse of a desert landscape dominated by rugged rocky mountains under a night sky filled with the Milky Way. Stars rotate across the sky as the moonlight gradually shifts, enhancing the contrast between the illuminated mountain contours and the deep shadows in the desert. The timelapse captures changes in the sky’s color as night progresses. Cinematic style with crisp clarity, dramatic lighting, and saturated dark blues and purples. Smooth camera zoom-in shot, maintaining a wide angle composition and stable 360-degree view. No unwanted blur or distortion. The overall atmosphere is tranquil and awe-inspiring.', 'koreanSummary': '바위산이 있는 사막에서 은하수가 빛나는 밤하늘의 고해상도 타임랩스 영상. 별의 회전, 달빛의 이동, 하늘 색의 변화를 영화적인 스타일과 선명한 색감, 360도와 줌인 샷으로 보여줍니다. 고요하고 경이로운 분위기.'}]"
요리사가 스테이크를 구우며 플레이팅하는 장면을 만들어줘,
,"[{'optimizedPrompt': ""A chef dressed in traditional attire is expertly smoking a steak at an outdoor barbecue area, focusing intently on the cooking process. The chef then elegantly plates the steak using a traditional French technique, arranging the food with precision and care. The setting is bright daylight, natural sunlight casting strong shadows across the rustic barbecue environment and the vibrant colors of the plated food. The camera tracks from a medium shot of the chef grilling, panning smoothly to a close-up of the plated steak. The chef's focused expression, precise hand movements, and the interplay of sunlight create an atmosphere of authenticity and craftsmanship. Exclude any blur, distortion, or unwanted objects from the scene."", 'koreanSummary': '전통 의상을 입은 요리사가 야외 바베큐 공간에서 스테이크를 훈제 조리하며, 전통적인 프랑스식 플레이팅 기술로 정성스럽게 플레이팅하는 장면입니다. 자연광이 비추는 밝은 환경 속에서 요리사의 집중한 표정과 정교한 손동작이 강조됩니다.'}]"
고양이와 강아지가 함께 낮잠 자는 귀여운 영상을 만들어줘,
,"[{'optimizedPrompt': 'A cute cat and dog with adorable expressions are peacefully napping together in a cozy room. They are gently snuggled up on a warm bed and a comfortable sofa, sometimes wrapping their tails around themselves or each other, softly sleeping, and leaning on one another. The soft indoor lighting, mild sunlight, and gentle evening glow create a soothing and warm atmosphere. The camera moves slowly with smooth panning and close-up shots, highlighting their relaxed faces and the snug textures of the environment. The composition emphasizes intimacy and harmony, avoiding blur or unwanted objects. Their eye directions are calm and dreamlike, further enhancing the tranquil and heartwarming scene.', 'koreanSummary': '귀여운 표정의 고양이와 강아지가 아늑한 방에서 따뜻한 침대와 편안한 소파 위에 서로 기대어 낮잠을 자는 영상입니다. 꼬리를 감싸거나 부드럽게 자며, 차분한 실내 조명과 온화한 햇빛, 아늑한 저녁 조명이 포근한 분위기를 연출합니다. 카메라는 부드럽게 이동하며 친밀함과 편안함을 강조합니다.'}]"
