input,allResults
아기 코끼리들이 강가에서 물장구치는 영상을 만들어줘,
,"[{'optimizedPrompt': ""[Main Subject]\nA group of baby elephants with adorable and playful facial expressions, their small trunks and large floppy ears clearly visible.\n\n[Context]\nSunlit reed field by the riverside, bright daylight filtering through tall golden reeds, casting soft natural light over the scene.\n\n[Action]\nThe baby elephants are tangled together, splashing and playing energetically in the shallow water, engaging in playful games and gently interacting with each other.\n\n[Style]\nWarm, lively, and uplifting, with a cinematic focus on the innocence and charm of the baby elephants.\n\n[Camera Motion]\nCombination of close-up shots with zoom-in effects, dynamically shifting to side views and occasional high angle perspectives to capture the group’s playful movements from multiple engaging angles.\n\n[Composition]\nPredominantly close-up composition that emphasizes the elephants' facial expressions and water movements, occasionally pulling back to show the surrounding sunlit reeds and the overall playful scene, always excluding any blur, distortion, or unwanted objects.\n\n[Atmosphere]\nJoyful, radiant, and filled with soft golden sunlight; the interplay of light and water creates a sparkling effect, further enhancing the playful mood.\n\n[Additional Rule]\nDo not include elements not directly related to baby elephants, sunlit reeds, water, or their playful interaction; maintain image clarity and avoid visual noise."", 'koreanSummary': '햇살이 비치는 갈대밭 강가에서 아기 코끼리들이 귀여운 표정으로 서로 엉켜 물장구치며 노는 모습을 다양한 근접·측면·고각 앵글로 밝고 따스하게 담은 영상'}]"
20대 여성이 공원에서 조깅하는 장면을 영상으로 보여줘,
,"[{'optimizedPrompt': '[Main Subject]\nA woman in her 20s, athletic build, wearing stylish sportswear and prominent running shoes from a well-known sports brand, with modern headphones over her ears.\n\n[Context]\nShe is jogging in a sunlit park surrounded by lush green trees, with sunlight streaming through the leaves.\n\n[Action]\nShe runs naturally at a steady pace, in a relaxed yet energizing jog, her movement fluid and comfortable.\n\n[Style]\nSlow-motion video captures every stride, highlighting the bounce of her running shoes and the sway of her sportswear and headphones.\n\n[Camera Motion]\nSmooth tracking shot parallel to her movement, occasionally transitioning to panning and close-ups of her feet and headphones.\n\n[Composition]\nWide shot showing her running between tall, green trees with sunlight dappling the ground, alternating with medium shots that focus on her form and expression.\n\n[Atmosphere]\nBright, warm, invigorating mood with soft contrasts between sunlight and shade, emphasizing freshness and vitality.\n\n[Additional Rule]\nExclude any blur, image distortion, or unwanted objects in the scene. Maintain visual focus on the woman, her gear, and the vibrant park setting.', 'koreanSummary': '20대 여성이 스포츠 브랜드의 운동복과 러닝화를 신고 헤드폰을 착용한 채, 햇살이 비치고 푸르른 나무로 가득한 공원에서 자연스럽게 조깅하는 장면을 슬로우 모션으로 강조하는 영상'}]"
별빛이 가득한 사막 밤하늘의 타임랩스 영상을 만들어줘,
,"[{'optimizedPrompt': '[Main Subject]\nA rocky mountain landscape in the desert beneath a night sky filled with the Milky Way.\n\n[Context]\nThe scene is set deep in a desert, highlighting the rugged textures of rocky mountains silhouetted against the open night. The sky above is vividly illuminated by countless stars and a distinct Milky Way band.\n\n[Action]\nTime-lapse displays stars rotating in the sky, the Milky Way moving across the horizon, and the subtle shifting of moonlight. The colors of the sky transition gracefully as the night progresses.\n\n[Style]\nHigh-resolution cinematic timelapse, emphasizing natural detail and clarity of both terrestrial and celestial features.\n\n[Camera Motion]\nDynamic zoom-in shot, with smooth 360-degree views and selective slow motion to accentuate the movement of stars and moonlight.\n\n[Composition]\nWide panoramic shot that captures both the majestic rocky mountains in the foreground and the expansive star-filled sky. Framing positions the Milky Way as a central, arching element.\n\n[Atmosphere]\nAwe-inspiring and serene ambiance with sharp contrast between the dark vastness of the desert and the luminous, swirling night sky. Brilliant starlight and gentle moon glow set a tranquil mood.\n\n[Additional Rule]\nExclude all elements not mentioned in the provided keywords, such as people, animals, blurred areas, distortions, or unwanted objects. Preserve absolute clarity and natural color throughout all time transitions.', 'koreanSummary': '바위산이 펼쳐진 사막을 배경으로, 은하수와 별빛이 가득한 밤하늘의 변화를 고해상도 타임랩스와 다양한 촬영 기법으로 담아낸 몽환적이고 장엄한 분위기의 영상'}]"
요리사가 스테이크를 구우며 플레이팅하는 장면을 만들어줘,
,"[{'optimizedPrompt': ""[Main Subject]\nA chef in traditional attire\n\n[Context]\nSet in both an outdoor barbecue area and a home kitchen, focusing on the process of steak preparation and presentation\n\n[Action]\nThe chef is smoking a steak, turning it carefully over a grill or stovetop, then plating the finished steak using a combination of traditional French, modern, naturalistic, and minimalist plating techniques\n\n[Style]\nRefined and balanced visual style, blending the elegance of classic French presentation with modern simplicity, natural elements, and minimalist arrangements\n\n[Camera Motion]\nSlow, detailed tracking shots following the chef's hands as they grill and plate the steak; gentle panning between the outdoor and kitchen settings\n\n[Composition]\nMedium and close-up shots highlighting the chef's hands in traditional attire, the sizzling smoked steak, and the intricately plated dish on a pristine plate; backgrounds alternate between the lively outdoors and cozy home kitchen\n\n[Atmosphere]\nWarm, inviting atmosphere with natural daylight and soft indoor lighting enhancing the textures and colors of the steak, emphasizing clarity, freshness, and meticulous craftsmanship\n\n[Additional Rule]\nAvoid blur, distortion, and any unrelated objects; maintain clear focus on the chef, steak, and plating process, with background elements solely derived from the outdoor barbecue and home kitchen contexts"", 'koreanSummary': '전통 의상의 요리사가 야외 바베큐 공간과 가정용 주방에서 스테이크를 훈제해 굽고, 전통 프랑스식·모던·자연주의·미니멀리즘 플레이팅으로 접시에 담는 과정을 담은 장면'}]"
고양이와 강아지가 함께 낮잠 자는 귀여운 영상을 만들어줘,
,"[{'optimizedPrompt': '[Main Subject]\nA cat and a dog with adorable expressions\n\n[Context]\nResting together in a cozy room, nestled on a warm bed and a comfortable sofa\n\n[Action]\nGently sleeping side by side, the cat wraps its tail around itself, while the dog leans softly against the cat. Both appear completely relaxed and napping together peacefully.\n\n[Style]\nSoothing and heartwarming style, emphasizing coziness and cuteness. Colors are soft and warm.\n\n[Camera Motion]\nSlow panning from left to right, gently zooming in on their faces and tail-wrapping gesture.\n\n[Composition]\nMedium shot capturing both animals comfortably sharing the space on the bed and sofa.\n\n[Atmosphere]\nCalm indoor lighting, with gentle sunlight or warm evening lamps creating a tranquil, intimate mood. Shadows appear soft and the overall scene feels serene and inviting.\n\n[Additional Rule]\nNo blur, distortion, or unwanted objects. Focus only on the two animals and their comfortable, peaceful environment.', 'koreanSummary': '고양이와 강아지가 아늑한 방 안, 따뜻한 침대와 소파 위에서 서로 기대고 귀엽게 낮잠 자는 포근한 장면'}]"
드론이 산 위를 비행하며 일출을 촬영하는 영상을 만들어줘,
