input,optimizedPrompt
역사적으로 큰 피해를 입혔던 자연재해 사건들을 조사해줘,
,"[Goal]
브라질에서 일어난 홍수와 산불에 초점을 맞춰, 이로 인해 발생한 재산 피해, 인명 피해, 사회적 영향, 환경 파괴 등 다양한 피해 규모를 분석하십시오. 또한, 역사적 사례로 1906년 샌프란시스코 지진과의 비교 또는 관련성도 간략히 언급하십시오.

[Persona]
재난 연구를 전문으로 하는 분석가로서, 공식 보고서 형식과 신뢰할 수 있는 출처를 우선 활용하는 전문가입니다.

[Instructions]
1. 브라질에서 발생한 홍수와 산불의 대표적 사례 및 각각의 재산 피해, 인명 피해, 사회적 영향, 환경 파괴를 구체적으로 나누어 설명하세요.
2. 피해 규모에 대한 신뢰할 수 있는 통계 또는 보고서 인용을 우선적으로 제시하세요.
3. 1906 샌프란시스코 지진과의 비교점이나 관련성, 또는 자연재해 유형 간 공통점/차이점도 간단히 언급하세요.
4. 자연재해의 장기적 여파(사회·환경적 변화 등)도 포함하세요.

[Constraints]
- 각 피해 유형(재산, 인명, 사회, 환경)을 반드시 모두 언급할 것
- 제시된 자연재해 유형 및 영향 지역을 빠짐없이 다룰 것
- 역사적 사례(1906 샌프란시스코 지진)와의 연계 분석 간략 포함
- 신뢰할 수 있는 데이터 및 출처 중심으로 작성
- 내용은 700자 이내로 유지

[Response Format]
- 국가/기간/자연재해 유형별 소제목
- 각 소제목별로 피해 유형별 Bullet-point 요약
- 마지막에 1906 샌프란시스코 지진과의 비교 요약 (3줄 내)
- 데이터나 인용이 있을 경우, 간략한 자료 출처 기입(연도/기관명)

[few-shot samples]
- ""2011년 브라질 리우데자네이루 홍수
  - 재산 피해: 약 10억 달러(브라질 국립재해방지청, 2012)
  - 인명 피해: 약 900명 사망
  - 사회적 영향: 10만 명 이상 이주
  - 환경 파괴: 산림 파괴 및 토양 침식""
- ""2019년 브라질 아마존 산불
  - 재산 피해: 산림 소실 약 9,000㎢(INPE, 2019)
  - 사회적 영향: 토착민 생존 위협
  - 환경 파괴: CO2 대량 배출, 생태계 훼손""
- ""비교: 1906 샌프란시스코 지진은 인명·사회적 피해 규모에서 유사하나, 주로 지진에 의한 1차적 피해가 특징임.""

[Reasoning Steps]
1. 브라질 내 홍수와 산불의 대표적 사례를 연도 기준으로 선정
2. 피해 규모 데이터를 출처와 함께 분류 정리
3. 사회, 환경적 파장까지 포함해 여러 피해를 정리
4. 1906 샌프란시스코 지진과의 공통점·차이점 서술

[Additional Context]
브라질은 기후 변화의 영향으로 홍수와 산불이 빈번히 발생하는 지역이며, 각 자연재해는 경제, 주민, 환경에 복합적으로 영향을 끼침. 1906 샌프란시스코 지진 같은 과거 사례와 비교함으로써, 학제 간 이해와 대응전략 도출이 가능함.

[Safeguards]
- 출처가 불분명한 통계나 미확인 주장은 사용하지 않음
- 민감한 피해자 정보 식별 불가
- 과도한 공포감 조성 자제"
세계 각국의 명절을 조사해줘,
,"[Goal]
세계 각국의 대표적인 명절(추수감사절, 설날, 디왈리)에 대해 종합적으로 조사하여, 각 명절의 문화적 전통(장식물, 음식), 역사적 배경(민속 이야기, 중요 사건, 유래, 변천사), 사회적 인식(가족의 의미, 축제 분위기)까지 심층적으로 설명해 주십시오.

[Persona]
다문화 연구를 수행하는 국제 문화 전문가로서 신뢰성과 중립성을 중시하는 연구자입니다.

[Instructions]
1. 각 명절(추수감사절, 설날, 디왈리)을 개별적으로 구분하여 설명하세요.
2. 각 명절별로 다음 항목을 반드시 포함하세요:
  - 문화적 전통: 특유의 장식물, 주요 음식 등
  - 역사적 배경: 민속 이야기, 중요 사건, 유래, 변천사
  - 사회적 인식: 가족의 의미, 축제 분위기 등 현대 사회에서의 의미
3. 객관적 사실과 신뢰할 수 있는 근거 위주로 기술하세요.
4. 각 항목은 명확하게 소제목으로 구분해 작성하세요.

[Constraints]
- 모든 명절은 동등한 비중으로 다루세요.
- 편견이나 주관적 해석 없이 중립적으로 작성하세요.
- 각 명절별 세부 내용이 400~600자 이내가 되도록 조정하세요.

[Response Format]
- {명절명}
  - 문화적 전통: …
  - 역사적 배경: …
  - 사회적 인식: …
(명절별로 반복)

[few-shot samples]
예시:
- 설날
  - 문화적 전통: 한복 착용, 떡국 섭취 등
  - 역사적 배경: 음력 1월 1일에 시작된 전통 행사로 여러 민속 설화와 연관됨
  - 사회적 인식: 가족이 모여 정을 나누는 시기로 여겨짐
- 디왈리
  - 문화적 전통: 등불 장식, 전통 과자 준비 등
  - 역사적 배경: 신화 속 라마 귀환 기념에서 유래
  - 사회적 인식: 선의 승리와 가족 화합을 강조하는 축제

[Reasoning Steps]
1. 각 명절의 기본 소개 작성
2. 항목별로 신뢰할 수 있는 정보를 조사
3. 문화적 전통, 역사적 배경, 사회적 인식 순으로 정리 및 요약
4. 요구된 형식과 분량에 맞게 재구성

[Additional Context]
- 대상 독자는 다양한 국가의 문화 차이에 관심이 많은 일반인, 연구자, 교육자 등입니다.
- 명절 간 교차비교 대신 각 명절의 독자적인 의미와 방식을 부각하세요.

[Safeguards]
- 문화적 편견, 고정관념, 민감한 이슈는 피하고 각 문화의 다양성과 존중을 명시적으로 강조하세요.
- 토착 집단이나 소수민족에 대한 부정적 언급이나 왜곡된 서술을 반드시 삼가세요."
인공지능의 발전이 사회에 미친 긍정적 영향과 부정적 영향을 분석해줘,
,"---
[Goal]
인공지능의 발전이 사회 전반에 미친 주요 긍정적 영향(경제 성장, 교육 혁신)과 부정적 영향(고용 불안정, 프라이버시 침해), 그리고 사회적 변화(정치적 영향, 일자리 구조 변화, 소통 방식 변화) 및 기술 발전 측면(보안 기술, 인공지능 윤리, 자동화)을 체계적으로 분석하고자 합니다.

[Persona]
당신은 미래 사회 변화와 기술 발전의 상호 작용을 집중적으로 연구하는 사회과학 및 기술정책 전문가입니다.

[Instructions]
1. 인공지능 발전의 긍정적 영향(경제 성장, 교육 혁신)과 부정적 영향(고용 불안정, 프라이버시 침해)을 각각 구체적인 사례와 함께 설명하세요.
2. 정치, 일자리 구조, 소통 방식 등 사회적 변화 양상과 원인, 결과를 연계하여 다각적으로 기술하세요.
3. 보안 기술, 인공지능 윤리, 자동화 등 기술 발전적 측면이 위 영향 및 변화와 어떻게 맞물리는지 논리적으로 설명하세요.
4. 모든 설명에 데이터, 통계, 주요 연구 및 실례 등 객관적 근거를 포함하세요.

[Constraints]
- 각 항목별 동등한 분량과 심도 유지 
- 요약 없이 명확하고 체계적인 서술
- 상업적·정치적 편향 금지, 중립적 표기
- 한글로 1500~2000자 내외

[Response Format]
1. 서론: 인공지능의 정의와 발전 현황 간략 소개
2. 긍정적 영향 분석(경제 성장, 교육 혁신)
3. 부정적 영향 분석(고용 불안정, 프라이버시 침해)
4. 사회적 변화(정치적 영향, 일자리 구조 변화, 소통 방식 변화)
5. 기술 발전적 관점(보안 기술, 인공지능 윤리, 자동화)
6. 결론 및 전망

[few-shot samples]
예시1: ""경제 성장 측면에서 인공지능은 생산성 향상과 신산업 창출을 통해 ...""
예시2: ""고용 불안정은 자동화로 인한 일자리 대체와 직업 구조의 변화로 ...""
예시3: ""인공지능 윤리는 알고리즘의 투명성, 책임성 보장과 맞닿아 있으며 ...""

[Reasoning Steps]
1. 각 키워드 범주별로 주요 쟁점 추출
2. 관련 연구·통계·실제 사례 조사 및 적용
3. 항목별 상호 영향관계 논리 전개
4. 객관적 근거 중심의 비교·종합적 서술

[Additional Context]
- 최근 5년 내 국내외 인공지능 사례와 정책 동향을 반영하세요.
- 교육 혁신 및 윤리 문제는 실제 적용 예를 중심으로 제시하세요.

[Safeguards]
- 개인정보 및 민감 데이터 노출 금지
- 근거 없는 주장이나 과도한 예측, 선정적 표현 지양"
기후 변화가 해양 생태계에 미치는 영향에 대해 설명해줘,
,"[Goal]
기후 변화가 해양 생태계에 미치는 영향을 구체적으로 설명하세요. 산업화와 온실가스 증가라는 기후 변화의 원인이 해양 포유류와 생물 다양성 등 해양 생태계의 구조에 어떤 영향을 주는지, 그리고 그 결과로 나타나는 해수 산성화 현상을 중심으로 기술하세요. 또한 이러한 변화에 대응하기 위한 탄소 중립, 해양 보호구역 설정 같은 구체적 대응 방안도 포함하세요.

[Persona]
기후 변화 전문가이자 해양 생태계 연구자

[Instructions]
- 산업화와 온실가스 증가가 해양 생태계에 어떤 방식으로 영향을 미치는지 단계별로 설명하세요.
- 해양 포유류와 전반적인 해양 생물 다양성의 변화 양상을 구체적인 사례와 함께 다루세요.
- 해수 산성화의 원인과 해양 생명체 및 생태계에 미치는 부정적 결과를 설명하세요.
- 탄소 중립 정책과 해양 보호구역 설정을 포함한 해결책을 제시하고, 기대 효과와 한계를 논의하세요.
- 최신 이론 또는 과학적 연구 결과를 언급해 신뢰성을 확보하세요.

[Constraints]
- 분량은 1000~1500자 내외로 작성하세요.
- 객관적 사실과 과학적 데이터를 우선시하세요.
- 불확실하거나 논란이 되는 부분은 반드시 명시하세요.

[Response Format]
1. 서론: 기후 변화와 해양 생태계의 상관성 간략 서술
2. 본론
  a) 기후 변화의 원인: 산업화, 온실가스 증가
  b) 해양 생태계 구조 변화: 해양 포유류, 생물 다양성
  c) 기후 변화의 결과: 해수 산성화, 영향 사례
  d) 대응 방안: 탄소 중립, 해양 보호구역
3. 결론 및 전망
- 참고문헌/자료 출처 간단 명시

[few-shot samples]
- ""산업 혁명 이후 온실가스 배출이 증가하면서 해양의 pH가 점차 낮아졌고, 이는 조개와 산호 등 석회질 생물의 생존을 위협하게 되었다.""
- ""탄소 중립 정책 도입과 해양 보호구역 확장은 해양 생물의 다양성을 유지하고 생태계 복원에 긍정적인 효과를 보이고 있다.""

[Reasoning Steps]
1. 기후 변화의 주된 원인 설명
2. 원인이 해양 생태계에 미치는 경로 분석
3. 구조적 변화(해양 포유류/생물 다양성)와 그 결과 정리
4. 해수 산성화 등 구체적 영향 검토
5. 대응 방안 제시 및 현실성 평가

[Additional Context]
- 최근 국제기구(UN, IPCC) 및 학술 자료의 논의를 반영하세요.
- 지역별 만의 특이성도 간단 언급 가능

[Safeguards]
- 아직 논란이 있거나 자료가 부족한 부분은 명확히 구분해 기술하세요.
- 부정확하거나 과장된 주장은 배제하세요."
우주 탐사의 역사와 주요 성과들을 정리해줘,
,"[Goal]
우주 탐사의 역사, 주요 탐사 성과, 기술 발전, 그리고 미래 계획까지 전반적인 내용을 구조적으로 요약하고 통찰력 있게 설명하세요. 반드시 다음 키워드를 모두 반영해야 합니다: 탐사선 발사, 고대 천문학, 인류의 달 착륙, 미국과 소련의 경쟁, 우주 망원경 개발, 외계 행성 발견, 목성 탐사, 로켓 엔진 기술, 인류의 외계 생명체 탐색, 달 기지 설계, 화성 이주 계획, 소행성 탐사.

[Persona]
중·고등학생 수준의 과학 교과서 집필자 또는 과학 다큐멘터리 시나리오 작가로서, 해당 내용을 사실 기반으로 명확하고 쉽게 전달하는 전문가.

[Instructions]
1. 각 키워드를 연대기적 또는 주제별로 구분하여 설명하세요.
2. 역사적 사건(예: 고대 천문학, 미국과 소련의 경쟁)과 기술 발전(탐사선 발사, 로켓 엔진 기술)의 연관성을 짚으세요.
3. 주요 성과(달 착륙, 우주 망원경 개발 등)의 의의를 기술하세요.
4. 미래 계획(외계 생명체 탐색, 달 기지, 화성, 소행성 등)은 현재 연구 동향과 기대 효과를 중심으로 요약하세요.

[Constraints]
- 반드시 모든 지정 키워드를 빠짐없이 포함할 것
- 각 키워드는 명확하고 논리적으로 연결하여 설명할 것
- 불필요한 세부 정보는 배제하고 핵심 내용과 맥락 위주로 작성할 것
- 중립적이고 과학적인 용어 사용
- 한글 1,200자 이내

[Response Format]
- 소제목(예: 1. 우주 탐사의 역사)과 간결한 단락 구성
- 각 소제목마다 해당 키워드가 최소 1회 이상 등장
- 항목별로 명확하게 구분

[few-shot samples]
예시
---
1. 우주 탐사의 역사
고대 천문학부터 시작된 인류의 우주에 대한 관심은 (중략) 미국과 소련의 경쟁으로 이어졌습니다.
2. 주요 탐사 성과
인류의 달 착륙, 탐사선 발사, 우주 망원경 개발은 (중략) 인류의 우주 이해를 획기적으로 넓혔습니다.
---

[Reasoning Steps]
1. 각 키워드를 명확하게 이해하고 분류하기
2. 연대기 또는 논리적 순서에 따라 정보를 조직하기
3. 각 요소의 배경, 결과, 의의 요약
4. 모든 키워드가 빠짐없이 들어갔는지 확인
5. 요구된 형식에 부합하도록 교정

[Additional Context]
- 최신 우주 탐사 트렌드 및 기술을 간단히 언급해도 무방
- 정보의 신뢰성과 정확성 최우선

[Safeguards]
- 과학적 사실과 공공 정보만 사용
- 음모론, 자의적 해석, 과장된 내용은 배제"
