input,Keyword_1,Keyword_2,Keyword_3,Keyword_4
아기 코끼리들이 강가에서 물장구치는 영상을 만들어줘,아기 코끼리 특징: [귀여운 표정],환경 설정: [햇살이 내리쬐는 갈대밭],"활동 묘사: [서로 엉켜있기, 게임하기]","카메라 앵글: [근접 촬영, 줌인 효과, 측면에서 바라보기, 높은 각도]"
20대 여성이 공원에서 조깅하는 장면을 영상으로 보여줘,"주요 대상: [러닝화, 스포츠 브랜드, 운동복, 헤드폰]","배경 설정: [햇살이 비치는, 푸르른 나무]","조깅 동작: [자연스럽게 달리기, 천천히 조깅, 빠른 속도]",영상 스타일: [슬로우 모션]
별빛이 가득한 사막 밤하늘의 타임랩스 영상을 만들어줘,사막의 풍경: [바위산],하늘의 디테일: [은하수],"시간의 변화: [별의 회전, 달빛의 이동, 하늘 색의 변화]","촬영 기법: [줌인 샷, 고해상도 타임랩스, 360도 뷰, 슬로우 모션]"
요리사가 스테이크를 구우며 플레이팅하는 장면을 만들어줘,요리사의 세부 묘사: [전통 의상],"요리 환경: [야외 바베큐 공간, 가정용 주방]","플레이팅 기술: [전통적인 프랑스식, 모던한 스타일, 자연주의, 미니멀리즘]",스테이크 조리 방법: [훈제]
고양이와 강아지가 함께 낮잠 자는 귀여운 영상을 만들어줘,동물의 외형: [귀여운 표정],"환경의 질감: [아늑한 방, 따뜻한 침대, 편안한 소파]","조명 효과: [차분한 실내 조명, 온화한 햇빛, 아늑한 저녁 조명]","동작의 다양성: [꼬리를 감싸기, 부드럽게 수면, 서로에게 기대기]"
드론이 산 위를 비행하며 일출을 촬영하는 영상을 만들어줘,"장면 구성: [드론 시점, 일출 광경, 산의 정상]",조명 효과: [내리쬐는 빛],"드론 동작: [상하 비행, 원형 비행]","자연 요소: [물의 반사, 바람에 흔들리는 풀, 새들의 비행]"
어린 소년이 바닷가에서 모래성을 쌓는 장면을 만들어줘,"주요 인물: [소년, 수영복 입은 소년, 모자 쓴 소년, 여름 소년]","자연 환경: [태양이 비치는 해변, 파도가 부서지는 해변]","동작 및 활동: [모래에서 놀기, 모래성 쌓기]",시각적 스타일: [아기자기한 디테일]
로봇이 사람과 악수를 하는 미래적인 장면을 영상으로 만들어줘,상위 키워드명1: [로봇의 재질],상위 키워드명2: [인물의 성별],상위 키워드명3: [배경의 색감],"상위 키워드명4: [행동의 속도, 행동의 유연성, 행동의 동기, 행동의 자연스러움]"
클래식 콘서트홀에서 오케스트라가 연주하는 영상을 만들어줘,"오케스트라 구성: [현악기, 관악기, 타악기, 지휘자]","무대 디자인: [배경 커튼, 무대 소품]",관객 반응: [기대를 담은 표정],"촬영 기법: [측면 장면, 드론 촬영]"
눈 내리는 도심 속을 혼자 걷는 남성의 감성적인 영상을 만들어줘,주요 인물: [비즈니스 복장 남성],"도시 환경: [가로등 빛, 작은 카페]","감정 표현: [편안한 표정, 즐거운 미소, 사색적인 표정]","비주얼 스타일: [흑백 감성, 따뜻한 색조, 몽환적인 조명, 차가운 색조]"
